User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
64,2,2026,8,22,23:08,$8.37,Online Transaction,-5352916651,Detroit,PA,84085,7995,,No
72,2,2026,8,22,23:11,$15.12,Online Transaction,-3334036238,Detroit,PA,57400,5999,,No
22,2,2026,8,22,23:16,$17.59,Chip Transaction,-4535306022,Seattle,IL,54942,4899,,No
33,0,2026,8,22,23:22,$96.46,Chip Transaction,-7620925180,Seattle,IL,10942,5812,,No
165,1,2026,8,22,23:26,$17.72,Swipe Transaction,-3390142871,Detroit,PA,66155,5999,,No
32,2,2026,8,22,23:49,$6.79,Online Transaction,-6266383540,Los Angeles,FL,54597,5732,,No
108,2,2026,8,22,23:57,$3.12,Swipe Transaction,-9748162863,Houston,NY,61173,5732,,No
88,1,2026,8,22,23:58,$3.16,Chip Transaction,-3989620584,Los Angeles,TX,76784,5942,,No
190,2,2026,8,23,00:14,$16.89,Online Transaction,-5048593026,Los Angeles,GA,79514,5411,,Yes
1,0,2026,8,23,01:08,$99.58,Chip Transaction,-5003224336,Houston,WA,93886,7995,,No
116,1,2026,8,23,01:28,$4.65,Chip Transaction,-9335152680,Chicago,IL,17665,5999,,No
135,2,2026,8,23,01:46,$38.96,Swipe Transaction,-6266383540,Los Angeles,FL,54597,5732,,No
110,0,2026,8,23,01:58,$6.61,Online Transaction,-5721798322,New York,GA,37938,7995,,No
83,2,2026,8,23,02:14,$4.16,Chip Transaction,-5858092863,Seattle,IL,50857,4111,,No
0,0,2026,8,23,02:18,$25.73,Swipe Transaction,-7791716271,Chicago,OH,38080,7995,,No
13,0,2026,8,23,02:40,$24.02,Online Transaction,-4916957577,Houston,IL,19880,5942,,No
60,2,2026,8,23,02:45,$161.43,Swipe Transaction,-7657668555,Seattle,FL,14165,5411,,No
16,0,2026,8,23,02:54,$64.65,Chip Transaction,-5128256752,New York,CA,82512,5541,,No
45,0,2026,8,23,02:55,$14.88,Online Transaction,-5981051812,New York,OH,91416,5999,,No
86,0,2026,8,23,03:03,$61.83,Swipe Transaction,-5048593026,Los Angeles,GA,79514,5411,,No
60,0,2026,8,23,03:29,$53.34,Online Transaction,-9332220623,Chicago,CA,22156,4111,,No
109,2,2026,8,23,03:34,$71.39,Chip Transaction,-9759748338,New York,MI,62581,5732,,No
190,1,2026,8,23,03:38,$16.14,Swipe Transaction,-1115768534,New York,IL,62923,5812,,No
148,2,2026,8,23,03:38,$32.47,Swipe Transaction,-3390142871,Detroit,PA,66155,5999,,No
101,2,2026,8,23,03:38,$7.47,Chip Transaction,-9701262893,Detroit,IL,47930,5812,,No
109,1,2026,8,23,03:54,$35.12,Online Transaction,-3132585291,Houston,NY,24662,5311,,No
103,0,2026,8,23,04:06,$71.83,Chip Transaction,-5721798322,New York,GA,37938,7995,,No
124,2,2026,8,23,04:19,$88.06,Chip Transaction,-3132585291,Houston,NY,24662,5311,,No
198,2,2026,8,23,04:21,$102.88,Chip Transaction,-7791716271,Chicago,OH,38080,7995,,No
116,1,2026,8,23,04:28,$1.44,Online Transaction,-7718830596,New York,GA,20500,5541,,No
58,0,2026,8,23,04:29,$18.81,Swipe Transaction,-1103393960,Detroit,TX,80010,4899,,No
1,1,2026,8,23,04:40,$4.03,Chip Transaction,-9747139103,New York,NY,53309,5812,,No
118,1,2026,8,23,04:53,$57.12,Chip Transaction,-6326438361,New York,FL,46434,5942,,No
170,1,2026,8,23,05:08,$274.58,Swipe Transaction,-1148254644,Chicago,NY,16572,5999,,No
68,2,2026,8,23,05:15,$36.08,Online Transaction,-5003224336,Houston,WA,93886,7995,,No
108,2,2026,8,23,05:38,$11.01,Chip Transaction,-6266383540,Los Angeles,FL,54597,5732,,No
199,0,2026,8,23,05:55,$100.04,Chip Transaction,-5858092863,Seattle,IL,50857,4111,,No
191,2,2026,8,23,06:01,$68.18,Online Transaction,-9332220623,Chicago,CA,22156,4111,,No
60,1,2026,8,23,06:22,$31.69,Chip Transaction,-7791716271,Chicago,OH,38080,7995,,No
21,0,2026,8,23,06:24,$7.93,Swipe Transaction,-1115768534,New York,IL,62923,5812,,No
5,0,2026,8,23,06:25,$86.61,Online Transaction,-5352916651,Detroit,PA,84085,7995,,No
17,0,2026,8,23,06:32,$42.81,Chip Transaction,-7969893382,Houston,FL,34957,5812,,No
172,0,2026,8,23,06:42,$52.00,Swipe Transaction,-8300112729,Detroit,WA,69929,5311,,No
60,1,2026,8,23,06:43,$126.04,Online Transaction,-4535306022,Seattle,IL,54942,4899,,No
189,2,2026,8,23,06:49,$35.92,Swipe Transaction,-7728217008,Detroit,GA,49240,5812,,No
67,1,2026,8,23,07:02,$17.49,Online Transaction,-8029246294,Chicago,TX,42325,7995,,No
186,2,2026,8,23,07:02,$4.80,Chip Transaction,-9332220623,Chicago,CA,22156,4111,,No
84,2,2026,8,23,07:13,$39.54,Swipe Transaction,-3432503894,Seattle,NY,99166,5812,,No
170,1,2026,8,23,07:13,$12.59,Swipe Transaction,-7438442699,Houston,FL,88104,5942,,No
134,0,2026,8,23,08:01,$1.01,Online Transaction,-6354879578,Los Angeles,FL,73653,5942,,No
91,2,2026,8,23,08:10,$15.74,Swipe Transaction,-1148254644,Chicago,NY,16572,5999,,No
60,2,2026,8,23,08:11,$4.23,Swipe Transaction,-8051271516,Detroit,WA,75612,5541,,No
9,1,2026,8,23,08:12,$96.30,Chip Transaction,-7728217008,Detroit,GA,49240,5812,,No
75,0,2026,8,23,08:12,$41.99,Chip Transaction,-9579485210,Detroit,GA,11934,5812,,No
118,0,2026,8,23,08:29,$24.36,Online Transaction,-7657668555,Seattle,FL,14165,5411,,No
12,0,2026,8,23,08:36,$36.78,Swipe Transaction,-3432503894,Seattle,NY,99166,5812,,No
17,0,2026,8,23,08:42,$20.38,Online Transaction,-1148254644,Chicago,NY,16572,5999,,No
60,1,2026,8,23,08:42,$92.16,Online Transaction,-9177126911,Seattle,OH,28373,4111,,No
101,1,2026,8,23,08:47,$64.96,Swipe Transaction,-3390142871,Detroit,PA,66155,5999,,No
90,1,2026,8,23,09:00,$68.17,Chip Transaction,-8433057726,Chicago,MI,37460,5732,,No
12,2,2026,8,23,09:27,$27.91,Swipe Transaction,-7589470809,Detroit,GA,64987,4899,,No
107,0,2026,8,23,09:34,$8.51,Swipe Transaction,-9597581989,Los Angeles,GA,88907,5411,,No
63,1,2026,8,23,10:03,$182.85,Swipe Transaction,-7589470809,Detroit,GA,64987,4899,,No
81,2,2026,8,23,10:10,$40.93,Chip Transaction,-1103393960,Detroit,TX,80010,4899,,No
28,2,2026,8,23,10:10,$17.03,Swipe Transaction,-9701262893,Detroit,IL,47930,5812,,No
111,0,2026,8,23,10:30,$21.02,Chip Transaction,-9529060554,Detroit,TX,99192,4111,,No
135,0,2026,8,23,10:32,$3.57,Swipe Transaction,-3390142871,Detroit,PA,66155,5999,,No
167,0,2026,8,23,10:41,$12.45,Online Transaction,-3132585291,Houston,NY,24662,5311,,No
93,1,2026,8,23,10:47,$33.00,Swipe Transaction,-1148254644,Chicago,NY,16572,5999,,No
28,2,2026,8,23,10:52,$41.35,Chip Transaction,-3989620584,Los Angeles,TX,76784,5942,,No
96,2,2026,8,23,10:55,$61.83,Online Transaction,-1148254644,Chicago,NY,16572,5999,,No
105,1,2026,8,23,11:24,$7.12,Chip Transaction,-7728217008,Detroit,GA,49240,5812,,No
147,1,2026,8,23,11:32,$37.93,Online Transaction,-9597581989,Los Angeles,GA,88907,5411,,No
196,2,2026,8,23,11:39,$8.60,Swipe Transaction,-7620925180,Seattle,IL,10942,5812,,No
121,2,2026,8,23,11:48,$17.91,Swipe Transaction,-6326438361,New York,FL,46434,5942,,No
117,2,2026,8,23,12:08,$39.03,Chip Transaction,-8935253474,New York,MI,12757,5999,,No
78,2,2026,8,23,12:11,$27.71,Online Transaction,-9177126911,Seattle,OH,28373,4111,,No
85,2,2026,8,23,12:27,$11.64,Online Transaction,-8300112729,Detroit,WA,69929,5311,,No
195,2,2026,8,23,12:47,$35.90,Online Transaction,-9747139103,New York,NY,53309,5812,,No
151,0,2026,8,23,12:49,$11.15,Swipe Transaction,-8433057726,Chicago,MI,37460,5732,,No
74,0,2026,8,23,12:53,$31.97,Online Transaction,-4535306022,Seattle,IL,54942,4899,,No
173,0,2026,8,23,12:57,$72.37,Online Transaction,-7657668555,Seattle,FL,14165,5411,,No
76,2,2026,8,23,13:05,$18.55,Chip Transaction,-2570858543,Seattle,CA,59615,5812,,No
81,2,2026,8,23,13:25,$15.51,Online Transaction,-4916957577,Houston,IL,19880,5942,,No
159,1,2026,8,23,13:27,$42.08,Chip Transaction,-5048593026,Los Angeles,GA,79514,5411,,No
116,1,2026,8,23,13:36,$23.29,Chip Transaction,-7620925180,Seattle,IL,10942,5812,,No
173,1,2026,8,23,13:42,$5.52,Online Transaction,-9701262893,Detroit,IL,47930,5812,,No
102,2,2026,8,23,13:52,$14.63,Online Transaction,-9332220623,Chicago,CA,22156,4111,,No
87,0,2026,8,23,14:02,$46.22,Chip Transaction,-3019388817,Detroit,GA,89818,4899,,No
33,1,2026,8,23,14:05,$32.90,Online Transaction,-9747139103,New York,NY,53309,5812,,No
2,1,2026,8,23,14:05,$19.30,Chip Transaction,-2952122732,New York,WA,66985,5541,,No
115,0,2026,8,23,14:07,$8.19,Online Transaction,-7589470809,Detroit,GA,64987,4899,,No
197,2,2026,8,23,14:11,$114.31,Swipe Transaction,-9579485210,Detroit,GA,11934,5812,,No
159,2,2026,8,23,14:11,$14.08,Swipe Transaction,-9579485210,Detroit,GA,11934,5812,,No
26,0,2026,8,23,14:11,$9.29,Online Transaction,-7791716271,Chicago,OH,38080,7995,,No
146,2,2026,8,23,14:17,$120.19,Chip Transaction,-5048593026,Los Angeles,GA,79514,5411,,No
124,2,2026,8,23,14:17,$15.41,Chip Transaction,-5048593026,Los Angeles,GA,79514,5411,,No
189,2,2026,8,23,14:37,$157.52,Chip Transaction,-3432503894,Seattle,NY,99166,5812,,No
49,1,2026,8,23,14:39,$6.70,Online Transaction,-8029246294,Chicago,TX,42325,7995,,No
148,1,2026,8,23,14:59,$15.57,Online Transaction,-9577298449,Houston,MI,24322,4899,,No
83,1,2026,8,23,15:01,$78.76,Online Transaction,-9577298449,Houston,MI,24322,4899,,No
59,1,2026,8,23,15:07,$105.97,Swipe Transaction,-5048593026,Los Angeles,GA,79514,5411,,No
6,1,2026,8,23,15:17,$41.90,Chip Transaction,-2913827697,Houston,GA,69177,5812,,No
131,0,2026,8,23,15:20,$220.01,Swipe Transaction,-7657668555,Seattle,FL,14165,5411,,No
57,1,2026,8,23,15:29,$56.72,Chip Transaction,-3019388817,Detroit,GA,89818,4899,,No
134,1,2026,8,23,15:48,$86.85,Swipe Transaction,-8860972880,Chicago,CA,42018,5311,,Yes
107,1,2026,8,23,15:50,$69.34,Chip Transaction,-6266383540,Los Angeles,FL,54597,5732,,No
75,0,2026,8,23,16:07,$17.16,Chip Transaction,-9577298449,Houston,MI,24322,4899,,No
74,1,2026,8,23,16:11,$28.00,Swipe Transaction,-8860972880,Chicago,CA,42018,5311,,No
197,2,2026,8,23,16:12,$16.84,Swipe Transaction,-3390142871,Detroit,PA,66155,5999,,No
159,1,2026,8,23,16:15,$57.11,Chip Transaction,-9335152680,Chicago,IL,17665,5999,,No
109,0,2026,8,23,16:34,$64.89,Online Transaction,-3432503894,Seattle,NY,99166,5812,,No
91,0,2026,8,23,16:47,$12.40,Chip Transaction,-8880019869,Detroit,MI,41285,5732,,No
143,2,2026,8,23,17:18,$22.73,Chip Transaction,-2332927794,Chicago,FL,82845,5942,,No
140,1,2026,8,23,17:27,$3.28,Online Transaction,-3853681964,Houston,FL,71213,5411,,No
75,1,2026,8,23,17:36,$8.45,Chip Transaction,-5858092863,Seattle,IL,50857,4111,,No
6,2,2026,8,23,17:42,$29.87,Swipe Transaction,-1115768534,New York,IL,62923,5812,,No
101,2,2026,8,23,17:54,$22.59,Swipe Transaction,-7657668555,Seattle,FL,14165,5411,,No
64,0,2026,8,23,17:55,$25.39,Swipe Transaction,-3989620584,Los Angeles,TX,76784,5942,,No
47,0,2026,8,23,18:13,$9.57,Swipe Transaction,-2952122732,New York,WA,66985,5541,,No
198,0,2026,8,23,18:13,$94.09,Chip Transaction,-6326438361,New York,FL,46434,5942,,No
15,1,2026,8,23,18:20,$14.53,Chip Transaction,-7438442699,Houston,FL,88104,5942,,No
75,2,2026,8,23,18:24,$8.53,Chip Transaction,-8300112729,Detroit,WA,69929,5311,,No
185,1,2026,8,23,18:31,$170.83,Swipe Transaction,-2952122732,New York,WA,66985,5541,,No
56,2,2026,8,23,18:40,$235.42,Chip Transaction,-5352916651,Detroit,PA,84085,7995,,No
184,0,2026,8,23,18:59,$14.37,Online Transaction,-1103393960,Detroit,TX,80010,4899,,No
161,0,2026,8,23,19:15,$14.81,Swipe Transaction,-2332927794,Chicago,FL,82845,5942,,No
24,1,2026,8,23,19:20,$31.36,Online Transaction,-5289639016,Chicago,PA,44671,5411,,No
173,1,2026,8,23,19:23,$17.95,Swipe Transaction,-1148254644,Chicago,NY,16572,5999,,No
47,1,2026,8,23,19:34,$22.53,Online Transaction,-1042186646,Houston,CA,79822,5541,,No
147,0,2026,8,23,19:38,$51.24,Swipe Transaction,-8775988461,Houston,GA,49651,5999,,No
132,0,2026,8,23,19:54,$63.42,Online Transaction,-9701262893,Detroit,IL,47930,5812,,No
160,2,2026,8,23,19:57,$42.41,Chip Transaction,-6354879578,Los Angeles,FL,73653,5942,,No
40,2,2026,8,23,19:57,$15.32,Online Transaction,-9747139103,New York,NY,53309,5812,,No
46,1,2026,8,23,20:02,$67.51,Online Transaction,-3132585291,Houston,NY,24662,5311,,No
128,0,2026,8,23,20:04,$191.73,Online Transaction,-3334036238,Detroit,PA,57400,5999,,No
106,1,2026,8,23,20:12,$33.60,Swipe Transaction,-2952122732,New York,WA,66985,5541,,No
179,0,2026,8,23,20:24,$22.64,Swipe Transaction,-6326438361,New York,FL,46434,5942,,No
123,2,2026,8,23,20:33,$18.32,Online Transaction,-5048593026,Los Angeles,GA,79514,5411,,No
99,0,2026,8,23,20:38,$21.11,Chip Transaction,-7657668555,Seattle,FL,14165,5411,,No
177,1,2026,8,23,20:42,$33.90,Swipe Transaction,-5858092863,Seattle,IL,50857,4111,,No
42,1,2026,8,23,20:52,$5.53,Online Transaction,-5981051812,New York,OH,91416,5999,,No
27,1,2026,8,23,20:55,$115.44,Online Transaction,-4916957577,Houston,IL,19880,5942,,No
66,2,2026,8,23,21:09,$8.87,Chip Transaction,-5858092863,Seattle,IL,50857,4111,,No
151,2,2026,8,23,21:09,$59.31,Online Transaction,-7438442699,Houston,FL,88104,5942,,No
21,0,2026,8,23,21:15,$19.97,Swipe Transaction,-5289639016,Chicago,PA,44671,5411,,No
184,0,2026,8,23,21:16,$18.66,Chip Transaction,-5128256752,New York,CA,82512,5541,,Yes
92,1,2026,8,23,21:24,$75.59,Swipe Transaction,-9748162863,Houston,NY,61173,5732,,No
136,0,2026,8,23,21:26,$17.55,Online Transaction,-9529060554,Detroit,TX,99192,4111,,No
183,2,2026,8,23,21:30,$7.19,Swipe Transaction,-8051271516,Detroit,WA,75612,5541,,No
9,0,2026,8,23,22:10,$29.85,Chip Transaction,-9577298449,Houston,MI,24322,4899,,No
19,2,2026,8,23,22:22,$8.59,Chip Transaction,-7253682786,New York,WA,42098,4899,,No
72,0,2026,8,23,22:35,$15.52,Swipe Transaction,-7253682786,New York,WA,42098,4899,,No
94,0,2026,8,23,22:49,$52.36,Online Transaction,-3019388817,Detroit,GA,89818,4899,,No
100,0,2026,8,23,23:07,$26.21,Swipe Transaction,-9335152680,Chicago,IL,17665,5999,,No
4,0,2026,8,23,23:11,$15.33,Chip Transaction,-9747139103,New York,NY,53309,5812,Bad PIN,No
60,2,2026,8,23,23:22,$12.86,Swipe Transaction,-5352916651,Detroit,PA,84085,7995,,No
146,2,2026,8,23,23:24,$18.42,Online Transaction,-8679236864,New York,IL,84364,5812,,No
138,1,2026,8,23,23:58,$20.69,Swipe Transaction,-7657668555,Seattle,FL,14165,5411,,No
118,2,2026,8,24,00:10,$92.92,Swipe Transaction,-3334036238,Detroit,PA,57400,5999,,No
2,2,2026,8,24,00:34,$37.50,Swipe Transaction,-7638611535,Chicago,GA,89507,4111,,No
198,0,2026,8,24,00:35,$114.53,Swipe Transaction,-8300112729,Detroit,WA,69929,5311,,No
95,2,2026,8,24,00:36,$60.77,Chip Transaction,-5289639016,Chicago,PA,44671,5411,,No
10,0,2026,8,24,00:38,$24.94,Online Transaction,-7728217008,Detroit,GA,49240,5812,,No
116,2,2026,8,24,00:58,$41.67,Swipe Transaction,-5858092863,Seattle,IL,50857,4111,,No
10,2,2026,8,24,01:00,$24.15,Swipe Transaction,-8300112729,Detroit,WA,69929,5311,,No
90,2,2026,8,24,01:03,$111.61,Online Transaction,-5128256752,New York,CA,82512,5541,,No
173,2,2026,8,24,01:09,$33.04,Swipe Transaction,-4916957577,Houston,IL,19880,5942,,No
78,1,2026,8,24,01:11,$6.25,Chip Transaction,-7253682786,New York,WA,42098,4899,,No
163,0,2026,8,24,01:14,$13.37,Online Transaction,-3132585291,Houston,NY,24662,5311,,No
144,2,2026,8,24,01:25,$148.56,Chip Transaction,-7589470809,Detroit,GA,64987,4899,,No
199,1,2026,8,24,02:07,$8.19,Chip Transaction,-9715722110,Seattle,MI,37869,5942,,No
121,2,2026,8,24,02:12,$10.73,Chip Transaction,-7553262727,Seattle,PA,15209,5999,,No
26,0,2026,8,24,02:14,$14.08,Swipe Transaction,-9335152680,Chicago,IL,17665,5999,,No
80,1,2026,8,24,02:18,$21.75,Chip Transaction,-7620925180,Seattle,IL,10942,5812,,No
71,2,2026,8,24,02:36,$35.65,Online Transaction,-7620925180,Seattle,IL,10942,5812,,No
116,0,2026,8,24,02:42,$11.81,Chip Transaction,-3853681964,Houston,FL,71213,5411,,No
66,1,2026,8,24,02:55,$46.82,Chip Transaction,-7620925180,Seattle,IL,10942,5812,,No
171,0,2026,8,24,03:10,$4.98,Chip Transaction,-1042186646,Houston,CA,79822,5541,,No
170,0,2026,8,24,03:29,$16.78,Swipe Transaction,-5858092863,Seattle,IL,50857,4111,,No
58,2,2026,8,24,03:32,$5.12,Online Transaction,-9715722110,Seattle,MI,37869,5942,,No
26,2,2026,8,24,03:37,$13.12,Chip Transaction,-7589470809,Detroit,GA,64987,4899,,No
168,2,2026,8,24,03:37,$7.30,Chip Transaction,-4916957577,Houston,IL,19880,5942,,No
3,2,2026,8,24,03:41,$29.10,Swipe Transaction,-5048593026,Los Angeles,GA,79514,5411,,No
192,1,2026,8,24,03:45,$496.76,Chip Transaction,-3019388817,Detroit,GA,89818,4899,,No
105,2,2026,8,24,03:47,$6.19,Chip Transaction,-7620925180,Seattle,IL,10942,5812,,No
107,0,2026,8,24,03:48,$43.79,Chip Transaction,-4916957577,Houston,IL,19880,5942,,No
63,1,2026,8,24,03:56,$9.49,Online Transaction,-4535306022,Seattle,IL,54942,4899,,No
171,1,2026,8,24,04:03,$11.32,Online Transaction,-7253682786,New York,WA,42098,4899,,No
58,0,2026,8,24,04:08,$27.52,Chip Transaction,-9748162863,Houston,NY,61173,5732,,No
43,0,2026,8,24,04:27,$12.86,Online Transaction,-8935253474,New York,MI,12757,5999,,No
140,0,2026,8,24,04:30,$19.74,Online Transaction,-8775988461,Houston,GA,49651,5999,,No
78,0,2026,8,24,04:47,$5.01,Chip Transaction,-9177126911,Seattle,OH,28373,4111,Bad PIN,No
4,0,2026,8,24,04:54,$17.84,Online Transaction,-3390142871,Detroit,PA,66155,5999,,No
53,2,2026,8,24,05:20,$78.92,Online Transaction,-7969893382,Houston,FL,34957,5812,,No
19,1,2026,8,24,05:21,$40.24,Swipe Transaction,-2913827697,Houston,GA,69177,5812,,No
