symbol,bar_ts,open,high,low,close,volume,vwap,trade_count
GOOGL,2026-09-22T09:35:00,175.2863,175.2863,174.9244,174.9819,38750,175.1145,4
AMZN,2026-09-22T09:35:00,190.5455,190.5455,190.4596,190.487,7712,190.4984,4
TSLA,2026-09-22T09:35:00,247.7336,247.7336,247.2201,247.2413,42789,247.4399,4
AAPL,2026-09-22T09:36:00,223.2538,223.5291,222.9963,223.1639,24409,223.2237,4
MSFT,2026-09-22T09:36:00,432.1252,432.1252,429.6996,430.348,11884,430.7346,4
GOOGL,2026-09-22T09:36:00,174.9819,175.1074,174.8591,174.8591,30928,174.9902,4
AMZN,2026-09-22T09:36:00,190.487,190.487,190.3134,190.3349,535,190.3994,4
TSLA,2026-09-22T09:36:00,247.2413,247.3521,246.9987,246.9987,7805,247.1274,4
AAPL,2026-09-22T09:37:00,223.1639,223.1639,222.5797,222.5797,42113,222.8183,4
MSFT,2026-09-22T09:37:00,430.348,430.5782,429.9533,429.9886,46411,430.1819,4
GOOGL,2026-09-22T09:37:00,174.8591,175.3693,174.8591,175.3693,28411,175.2209,4
AMZN,2026-09-22T09:37:00,190.3349,190.6686,190.3349,190.6208,12613,190.521,4
TSLA,2026-09-22T09:37:00,246.9987,247.2298,246.8915,246.8956,28812,247.0124,4
AAPL,2026-09-22T09:38:00,222.5797,223.1963,222.5797,223.1753,37000,222.9044,4
MSFT,2026-09-22T09:38:00,429.9886,430.5103,429.6253,430.4433,32758,430.06,4
GOOGL,2026-09-22T09:38:00,175.3693,175.3693,174.8877,174.8877,22500,175.1679,4
AMZN,2026-09-22T09:38:00,190.6208,190.9344,190.592,190.9344,9039,190.7468,4
TSLA,2026-09-22T09:38:00,246.8956,247.0748,246.6892,246.9293,7624,246.9185,4
AAPL,2026-09-22T09:39:00,223.1753,223.3303,223.1689,223.3303,14326,223.2193,4
MSFT,2026-09-22T09:39:00,430.4433,430.6201,430.4433,430.4993,31825,430.5398,4
GOOGL,2026-09-22T09:39:00,174.8877,174.8933,174.7481,174.8793,3178,174.8518,4
AMZN,2026-09-22T09:39:00,190.9344,190.9344,190.4716,190.4716,18584,190.7111,4
TSLA,2026-09-22T09:39:00,246.9293,247.1813,246.7857,246.8775,40445,246.9171,4
AAPL,2026-09-22T09:40:00,223.3303,223.3303,223.0193,223.1051,17859,223.1782,4
MSFT,2026-09-22T09:40:00,430.4993,431.3045,430.2671,431.3045,21706,430.663,4
GOOGL,2026-09-22T09:40:00,174.8793,174.8793,174.6507,174.6507,22449,174.7818,4
AMZN,2026-09-22T09:40:00,190.4716,190.548,190.3816,190.3816,38940,190.4723,4
TSLA,2026-09-22T09:40:00,246.8775,246.9496,246.8055,246.921,10850,246.8765,4
AAPL,2026-09-22T09:41:00,223.1051,223.1051,222.3913,222.5192,24223,222.6837,4
MSFT,2026-09-22T09:41:00,431.3045,431.7513,431.0088,431.7513,24413,431.343,4
GOOGL,2026-09-22T09:41:00,174.6507,174.6507,173.6986,173.6986,14249,174.1596,4
AMZN,2026-09-22T09:41:00,190.3816,190.5757,190.2998,190.4811,20257,190.4134,4
TSLA,2026-09-22T09:41:00,246.921,247.5913,246.7971,246.7971,48109,247.1737,4
AAPL,2026-09-22T09:42:00,222.5192,223.0553,222.5192,223.0553,45096,222.7246,4
MSFT,2026-09-22T09:42:00,431.7513,431.8617,431.5934,431.8617,10822,431.7123,4
GOOGL,2026-09-22T09:42:00,173.6986,173.8633,173.6888,173.7158,24932,173.7414,4
AMZN,2026-09-22T09:42:00,190.4811,190.7258,190.4146,190.7258,17049,190.5186,4
TSLA,2026-09-22T09:42:00,246.7971,247.2259,246.7971,247.0457,48125,246.9998,4
AAPL,2026-09-22T09:43:00,223.0553,223.0553,222.3189,222.3189,1252,222.6639,4
MSFT,2026-09-22T09:43:00,431.8617,432.1392,431.4883,432.0095,40720,431.8404,4
GOOGL,2026-09-22T09:43:00,173.7158,173.7158,173.295,173.295,35421,173.5601,4
AMZN,2026-09-22T09:43:00,190.7258,190.7258,190.3896,190.475,34825,190.5684,4
TSLA,2026-09-22T09:43:00,247.0457,247.2314,246.9323,247.2051,26981,247.1287,4
AAPL,2026-09-22T09:44:00,222.3189,222.5966,222.1731,222.1731,19734,222.3628,4
MSFT,2026-09-22T09:44:00,432.0095,432.1754,431.3931,431.3931,12146,431.8236,4
GOOGL,2026-09-22T09:44:00,173.295,173.4239,172.7906,172.7906,4800,173.142,4
AMZN,2026-09-22T09:44:00,190.475,191.2365,190.3996,191.2365,4484,190.7556,4
TSLA,2026-09-22T09:44:00,247.2051,247.434,246.7588,246.7588,46659,247.0015,4
AAPL,2026-09-22T09:45:00,222.1731,222.717,222.1731,222.717,12208,222.4863,4
MSFT,2026-09-22T09:45:00,431.3931,431.3931,430.316,431.2707,39978,431.0922,4
GOOGL,2026-09-22T09:45:00,172.7906,172.8422,172.7067,172.8243,11298,172.7879,4
AMZN,2026-09-22T09:45:00,191.2365,191.2365,190.9266,190.9266,29188,191.021,4
TSLA,2026-09-22T09:45:00,246.7588,247.5045,246.7414,247.5045,25561,247.1356,4
AAPL,2026-09-22T09:46:00,222.717,222.9114,222.6389,222.9114,11087,222.7672,4
MSFT,2026-09-22T09:46:00,431.2707,431.2707,429.9375,430.9389,16097,430.5756,4
GOOGL,2026-09-22T09:46:00,172.8243,172.8243,172.2084,172.2084,19713,172.4449,4
AMZN,2026-09-22T09:46:00,190.9266,191.0404,190.8032,191.0404,14774,190.9198,4
TSLA,2026-09-22T09:46:00,247.5045,247.7219,247.2249,247.2249,7501,247.4487,4
AAPL,2026-09-22T09:47:00,222.9114,223.3443,222.8916,223.1466,20653,223.045,4
MSFT,2026-09-22T09:47:00,430.9389,431.0785,430.2043,430.2043,22503,430.7953,4
GOOGL,2026-09-22T09:47:00,172.2084,172.2084,172.0219,172.0219,12890,172.0759,4
AMZN,2026-09-22T09:47:00,191.0404,191.0404,190.6494,190.6494,14939,190.7904,4
TSLA,2026-09-22T09:47:00,247.2249,247.2249,245.7033,245.7033,3514,246.5271,4
AAPL,2026-09-22T09:48:00,223.1466,223.2358,223.1207,223.1282,35411,223.1673,4
MSFT,2026-09-22T09:48:00,430.2043,430.563,430.2043,430.563,583,430.3391,4
GOOGL,2026-09-22T09:48:00,172.0219,172.0219,171.637,171.8435,21884,171.8377,4
AMZN,2026-09-22T09:48:00,190.6494,190.8413,190.6494,190.6531,42417,190.7158,4
TSLA,2026-09-22T09:48:00,245.7033,245.7033,245.1867,245.1867,7147,245.45,4
AAPL,2026-09-22T09:49:00,223.1282,223.2548,222.8579,222.8579,14380,223.0724,4
MSFT,2026-09-22T09:49:00,430.563,430.563,429.6983,430.155,23518,430.2426,4
GOOGL,2026-09-22T09:49:00,171.8435,171.8435,171.3755,171.4333,20586,171.5746,4
AMZN,2026-09-22T09:49:00,190.6531,191.2234,190.6522,191.1511,14260,190.8753,4
TSLA,2026-09-22T09:49:00,245.1867,245.1867,244.8097,245.08,49640,244.9752,4
AAPL,2026-09-22T09:50:00,222.8579,222.8579,222.2959,222.2959,34419,222.6065,4
MSFT,2026-09-22T09:50:00,430.155,430.2912,429.4516,429.4516,30075,429.8798,4
GOOGL,2026-09-22T09:50:00,171.4333,171.492,171.3353,171.4118,19137,171.4219,4
AMZN,2026-09-22T09:50:00,191.1511,191.2186,191.0013,191.2186,46733,191.1491,4
TSLA,2026-09-22T09:50:00,245.08,245.3045,244.4175,244.4175,37320,244.8498,4
AAPL,2026-09-22T09:51:00,222.2959,222.356,221.9782,221.9782,971,222.209,4
MSFT,2026-09-22T09:51:00,429.4516,430.321,429.0092,430.321,25106,429.7906,4
GOOGL,2026-09-22T09:51:00,171.4118,171.5648,171.242,171.5099,45907,171.4214,4
AMZN,2026-09-22T09:51:00,191.2186,191.2186,190.998,191.1699,1182,191.1278,4
TSLA,2026-09-22T09:51:00,244.4175,244.4175,243.8425,244.1419,19598,244.062,4
AAPL,2026-09-22T09:52:00,221.9782,222.5741,221.9782,222.5082,16097,222.3245,4
MSFT,2026-09-22T09:52:00,430.321,431.4317,430.321,431.4124,32136,430.9038,4
GOOGL,2026-09-22T09:52:00,171.5099,172.2828,171.5099,172.0332,24726,171.9717,4
AMZN,2026-09-22T09:52:00,191.1699,191.8542,191.1699,191.2127,38724,191.394,4
TSLA,2026-09-22T09:52:00,244.1419,244.4022,243.4738,243.4738,24173,244.0461,4
AAPL,2026-09-22T09:53:00,222.5082,222.5082,222.0754,222.0943,16425,222.2261,4
MSFT,2026-09-22T09:53:00,431.4124,432.9312,431.4124,432.9312,13970,432.3271,4
GOOGL,2026-09-22T09:53:00,172.0332,172.2581,172.0332,172.2581,35880,172.1607,4
AMZN,2026-09-22T09:53:00,191.2127,191.3809,191.0074,191.1831,36602,191.1959,4
TSLA,2026-09-22T09:53:00,243.4738,243.5741,243.398,243.5741,46641,243.4905,4
AAPL,2026-09-22T09:54:00,222.0943,222.4228,222.0943,222.3166,48280,222.2646,4
MSFT,2026-09-22T09:54:00,432.9312,432.9312,432.0855,432.4353,16067,432.476,4
GOOGL,2026-09-22T09:54:00,172.2581,172.412,172.2313,172.2316,30518,172.2922,4
AMZN,2026-09-22T09:54:00,191.1831,191.5175,191.1534,191.2181,10700,191.2952,4
TSLA,2026-09-22T09:54:00,243.5741,243.6962,243.2797,243.2797,32373,243.5343,4
AAPL,2026-09-22T09:55:00,222.3166,222.7703,222.3166,222.7703,16795,222.5229,4
MSFT,2026-09-22T09:55:00,432.4353,432.4353,431.8029,431.8512,6242,431.977,4
GOOGL,2026-09-22T09:55:00,172.2316,172.2316,171.7751,171.7751,19494,171.9818,4
AMZN,2026-09-22T09:55:00,191.2181,191.2181,190.9409,190.9703,30606,191.0822,4
TSLA,2026-09-22T09:55:00,243.2797,243.9003,243.0597,243.8834,21934,243.4814,4
AAPL,2026-09-22T09:56:00,222.7703,222.9701,222.5283,222.6338,5440,222.7526,4
MSFT,2026-09-22T09:56:00,431.8512,432.4395,431.6576,432.4395,5869,431.8952,4
GOOGL,2026-09-22T09:56:00,171.7751,171.7751,171.2941,171.365,31890,171.4991,4
AMZN,2026-09-22T09:56:00,190.9703,190.9703,190.6253,190.6253,11177,190.7189,4
TSLA,2026-09-22T09:56:00,243.8834,244.0608,243.8378,244.0608,37088,243.942,4
AAPL,2026-09-22T09:57:00,222.6338,222.6338,222.2469,222.3539,49885,222.4106,4
MSFT,2026-09-22T09:57:00,432.4395,432.4395,431.5369,432.2608,25896,431.917,4
GOOGL,2026-09-22T09:57:00,171.365,171.4193,171.2485,171.2485,23922,171.3512,4
AMZN,2026-09-22T09:57:00,190.6253,190.7638,190.5757,190.6694,42778,190.66,4
TSLA,2026-09-22T09:57:00,244.0608,244.3302,244.0342,244.1733,13010,244.1438,4
AAPL,2026-09-22T09:58:00,222.3539,222.3539,221.9123,221.9964,641,222.06,4
MSFT,2026-09-22T09:58:00,432.2608,432.4318,432.1176,432.2425,18100,432.2728,4
GOOGL,2026-09-22T09:58:00,171.2485,171.394,170.9298,171.394,18714,171.1354,4
AMZN,2026-09-22T09:58:00,190.6694,191.2115,190.6694,191.2115,25665,191.0159,4
TSLA,2026-09-22T09:58:00,244.1733,244.1733,243.6728,243.9171,22155,243.8935,4
AAPL,2026-09-22T09:59:00,221.9964,222.044,221.5029,222.0359,47581,221.8681,4
MSFT,2026-09-22T09:59:00,432.2425,432.2425,431.6931,432.1413,39148,432.0443,4
GOOGL,2026-09-22T09:59:00,171.394,171.7866,171.3355,171.6632,26348,171.5448,4
AMZN,2026-09-22T09:59:00,191.2115,191.3048,191.1334,191.1334,41616,191.2394,4
TSLA,2026-09-22T09:59:00,243.9171,244.0096,243.4274,243.4274,28837,243.7923,4
AAPL,2026-09-22T10:00:00,222.0359,222.1269,222.0359,222.0414,21052,222.0751,4
MSFT,2026-09-22T10:00:00,432.1413,432.3288,430.882,430.882,31618,431.669,4
GOOGL,2026-09-22T10:00:00,171.6632,171.6632,171.0865,171.1342,10195,171.2889,4
AMZN,2026-09-22T10:00:00,191.1334,191.1334,190.6843,190.6843,9624,190.8119,4
TSLA,2026-09-22T10:00:00,243.4274,244.0959,243.4274,244.0959,28493,243.8769,4
AAPL,2026-09-22T10:01:00,222.0414,222.3808,221.5991,222.3808,5750,221.9074,4
MSFT,2026-09-22T10:01:00,430.882,432.1438,430.882,431.5329,34370,431.6578,4
GOOGL,2026-09-22T10:01:00,171.1342,171.2349,170.8564,171.2349,37267,171.0798,4
AMZN,2026-09-22T10:01:00,190.6843,191.0592,190.6075,191.0592,18028,190.7965,4
TSLA,2026-09-22T10:01:00,244.0959,244.0959,243.4556,243.5501,38146,243.7804,4
AAPL,2026-09-22T10:02:00,222.3808,222.8226,222.1619,222.8226,16635,222.435,4
MSFT,2026-09-22T10:02:00,431.5329,434.2463,431.5329,434.2463,14386,432.7082,4
GOOGL,2026-09-22T10:02:00,171.2349,171.2349,170.9525,170.9887,48210,171.0899,4
AMZN,2026-09-22T10:02:00,191.0592,191.1729,190.9541,191.1729,27716,191.0612,4
TSLA,2026-09-22T10:02:00,243.5501,243.7942,243.5501,243.7942,35458,243.673,4
AAPL,2026-09-22T10:03:00,222.8226,223.2673,222.8226,223.0111,17589,223.0592,4
MSFT,2026-09-22T10:03:00,434.2463,436.1518,434.2463,436.1518,10191,435.1483,4
GOOGL,2026-09-22T10:03:00,170.9887,171.1125,170.9083,171.1125,34926,171.0229,4
AMZN,2026-09-22T10:03:00,191.1729,191.4172,191.1729,191.4172,45353,191.2939,4
TSLA,2026-09-22T10:03:00,243.7942,244.2006,243.7406,243.7931,43633,243.8689,4
AAPL,2026-09-22T10:04:00,223.0111,223.2504,222.9952,222.9952,21220,223.089,4
MSFT,2026-09-22T10:04:00,436.1518,436.2912,435.8729,436.1565,21873,436.136,4
GOOGL,2026-09-22T10:04:00,171.1125,171.5067,171.1125,171.4158,36925,171.3302,4
AMZN,2026-09-22T10:04:00,191.4172,191.4172,190.8321,191.4102,18968,191.092,4
TSLA,2026-09-22T10:04:00,243.7931,243.8666,243.6208,243.8001,23787,243.758,4
AAPL,2026-09-22T10:05:00,222.9952,223.9382,222.9952,223.9382,17880,223.6542,4
MSFT,2026-09-22T10:05:00,436.1565,436.2952,435.1877,435.1877,27660,435.7186,4
GOOGL,2026-09-22T10:05:00,171.4158,171.9695,171.4158,171.9695,20291,171.7008,4
AMZN,2026-09-22T10:05:00,191.4102,192.3812,191.4102,192.1839,40116,191.9457,4
TSLA,2026-09-22T10:05:00,243.8001,243.9194,243.3375,243.4761,48990,243.6496,4
AAPL,2026-09-22T10:06:00,223.9382,224.1199,223.8177,223.8177,40586,223.9338,4
MSFT,2026-09-22T10:06:00,435.1877,435.1877,433.6524,433.9387,7118,434.1614,4
GOOGL,2026-09-22T10:06:00,171.9695,171.9695,171.7687,171.7687,20171,171.8808,4
AMZN,2026-09-22T10:06:00,192.1839,192.2268,191.8643,192.0479,45533,192.089,4
TSLA,2026-09-22T10:06:00,243.4761,243.4761,243.1073,243.1073,8669,243.3452,4
AAPL,2026-09-22T10:07:00,223.8177,223.895,222.9967,222.9967,9300,223.5762,4
MSFT,2026-09-22T10:07:00,433.9387,434.5129,433.8557,433.8557,11785,434.0521,4
GOOGL,2026-09-22T10:07:00,171.7687,171.7687,171.0913,171.1903,45578,171.3754,4
AMZN,2026-09-22T10:07:00,192.0479,192.1562,191.8641,191.8649,17893,191.9963,4
TSLA,2026-09-22T10:07:00,243.1073,243.1073,242.8475,242.8475,32554,242.9957,4
AAPL,2026-09-22T10:08:00,222.9967,222.9967,222.2737,222.2737,13842,222.672,4
MSFT,2026-09-22T10:08:00,433.8557,434.0191,432.9174,434.0191,22224,433.5859,4
GOOGL,2026-09-22T10:08:00,171.1903,171.2373,171.01,171.1948,24208,171.1682,4
AMZN,2026-09-22T10:08:00,191.8649,192.0695,191.7773,192.0695,31854,191.8995,4
TSLA,2026-09-22T10:08:00,242.8475,243.2205,242.8475,243.2205,33720,243.0753,4
AAPL,2026-09-22T10:09:00,222.2737,222.2737,221.7923,221.8021,28259,221.9155,4
MSFT,2026-09-22T10:09:00,434.0191,434.0191,433.4592,433.7419,20361,433.7267,4
GOOGL,2026-09-22T10:09:00,171.1948,171.3577,170.9198,170.9593,8337,171.1224,4
AMZN,2026-09-22T10:09:00,192.0695,193.0419,192.0695,193.0419,12419,192.4435,4
TSLA,2026-09-22T10:09:00,243.2205,244.0585,243.2205,244.0585,26734,243.6685,4
AAPL,2026-09-22T10:10:00,221.8021,221.8666,221.5034,221.8666,36654,221.7093,4
MSFT,2026-09-22T10:10:00,433.7419,433.7419,432.2136,432.6259,49240,432.8249,4
GOOGL,2026-09-22T10:10:00,170.9593,171.1056,170.9593,170.9746,30714,171.0305,4
AMZN,2026-09-22T10:10:00,193.0419,193.0419,192.6211,192.7972,22353,192.8307,4
TSLA,2026-09-22T10:10:00,244.0585,244.1932,243.9205,243.9205,46454,244.0463,4
AAPL,2026-09-22T10:11:00,221.8666,222.6205,221.8666,222.4568,2861,222.3586,4
MSFT,2026-09-22T10:11:00,432.6259,432.7859,432.0861,432.7859,27184,432.481,4
GOOGL,2026-09-22T10:11:00,170.9746,171.1805,170.5793,170.5793,3692,170.9526,4
AMZN,2026-09-22T10:11:00,192.7972,192.7972,192.4282,192.4282,15580,192.6029,4
TSLA,2026-09-22T10:11:00,243.9205,244.3055,243.9205,244.2174,21685,244.0632,4
AAPL,2026-09-22T10:12:00,222.4568,222.4727,222.0845,222.4727,3114,222.3676,4
MSFT,2026-09-22T10:12:00,432.7859,433.0569,432.5406,433.0569,33713,432.8273,4
GOOGL,2026-09-22T10:12:00,170.5793,170.768,170.5793,170.5912,6693,170.6652,4
AMZN,2026-09-22T10:12:00,192.4282,192.4282,191.914,191.914,46577,192.2171,4
TSLA,2026-09-22T10:12:00,244.2174,244.5719,244.0496,244.5719,3055,244.2397,4
AAPL,2026-09-22T10:13:00,222.4727,222.4727,221.6017,221.6017,41175,222.0801,4
MSFT,2026-09-22T10:13:00,433.0569,433.7978,433.0569,433.0812,16850,433.3317,4
GOOGL,2026-09-22T10:13:00,170.5912,170.8135,170.3939,170.3939,45421,170.5817,4
AMZN,2026-09-22T10:13:00,191.914,192.405,191.914,192.405,9255,192.1922,4
TSLA,2026-09-22T10:13:00,244.5719,244.5719,244.124,244.1968,11799,244.3173,4
AAPL,2026-09-22T10:14:00,221.6017,222.0016,221.6017,221.944,48771,221.8933,4
MSFT,2026-09-22T10:14:00,433.0812,433.0812,432.4203,432.4203,42142,432.8033,4
GOOGL,2026-09-22T10:14:00,170.3939,170.3939,170.2049,170.3347,18942,170.2869,4
AMZN,2026-09-22T10:14:00,192.405,192.6296,192.2366,192.2366,9946,192.3937,4
TSLA,2026-09-22T10:14:00,244.1968,244.3292,243.6237,244.0394,11141,244.036,4
AAPL,2026-09-22T10:15:00,221.944,222.0092,221.7683,221.7683,3037,221.888,4
MSFT,2026-09-22T10:15:00,432.4203,433.6032,432.0163,433.6032,38961,432.658,4
GOOGL,2026-09-22T10:15:00,170.3347,170.6135,170.3347,170.6135,12848,170.4327,4
AMZN,2026-09-22T10:15:00,192.2366,192.9033,192.2096,192.9033,46634,192.429,4
TSLA,2026-09-22T10:15:00,244.0394,244.1645,243.8455,243.8786,2366,243.9815,4
AAPL,2026-09-22T10:16:00,221.7683,221.969,221.5274,221.8549,43755,221.796,4
MSFT,2026-09-22T10:16:00,433.6032,433.7788,433.4197,433.4197,2298,433.5759,4
GOOGL,2026-09-22T10:16:00,170.6135,170.7664,170.1603,170.1603,27851,170.5077,4
AMZN,2026-09-22T10:16:00,192.9033,192.9033,192.6447,192.7611,38616,192.7751,4
TSLA,2026-09-22T10:16:00,243.8786,244.532,243.8786,244.4931,25209,244.3466,4
AAPL,2026-09-22T10:17:00,221.8549,222.2362,221.7416,222.0539,26693,221.9372,4
MSFT,2026-09-22T10:17:00,433.4197,433.5398,433.18,433.5398,14048,433.3702,4
GOOGL,2026-09-22T10:17:00,170.1603,170.3327,170.1603,170.3312,29462,170.2497,4
AMZN,2026-09-22T10:17:00,192.7611,193.081,192.7611,193.081,37801,192.9608,4
TSLA,2026-09-22T10:17:00,244.4931,244.6376,244.4931,244.5729,4846,244.5543,4
AAPL,2026-09-22T10:18:00,222.0539,223.6495,222.0539,223.6495,17897,222.8438,4
MSFT,2026-09-22T10:18:00,433.5398,434.39,433.5398,434.3323,9171,434.1869,4
GOOGL,2026-09-22T10:18:00,170.3312,170.3312,170.2178,170.2178,45997,170.296,4
AMZN,2026-09-22T10:18:00,193.081,193.081,192.5419,192.5419,27469,192.8269,4
TSLA,2026-09-22T10:18:00,244.5729,244.9916,244.5219,244.9916,42236,244.7179,4
AAPL,2026-09-22T10:19:00,223.6495,223.751,223.1571,223.4073,8078,223.4784,4
MSFT,2026-09-22T10:19:00,434.3323,435.6602,434.3323,435.419,46989,434.9716,4
GOOGL,2026-09-22T10:19:00,170.2178,170.6987,170.2178,170.6987,7821,170.4235,4
AMZN,2026-09-22T10:19:00,192.5419,192.8908,192.3395,192.8908,2604,192.5643,4
TSLA,2026-09-22T10:19:00,244.9916,245.1713,244.8975,245.1713,40713,245.0474,4
AAPL,2026-09-22T10:20:00,223.4073,223.7031,223.2503,223.2503,45513,223.4597,4
MSFT,2026-09-22T10:20:00,435.419,435.7539,435.3187,435.7539,34620,435.518,4
GOOGL,2026-09-22T10:20:00,170.6987,170.8536,170.656,170.656,4384,170.7569,4
AMZN,2026-09-22T10:20:00,192.8908,193.2796,192.7543,192.7543,36817,193.0581,4
TSLA,2026-09-22T10:20:00,245.1713,245.1713,244.5609,244.5609,34233,244.7575,4
AAPL,2026-09-22T10:21:00,223.2503,224.0296,223.2503,223.8704,41339,223.606,4
MSFT,2026-09-22T10:21:00,435.7539,438.3325,435.7539,438.1573,37295,437.4389,4
GOOGL,2026-09-22T10:21:00,170.656,170.9987,170.656,170.7002,39939,170.8466,4
AMZN,2026-09-22T10:21:00,192.7543,192.9761,192.7066,192.9119,6525,192.8371,4
TSLA,2026-09-22T10:21:00,244.5609,244.7097,244.2893,244.579,7396,244.559,4
AAPL,2026-09-22T10:22:00,223.8704,224.0859,223.6576,223.6576,46192,223.8746,4
MSFT,2026-09-22T10:22:00,438.1573,440.0107,438.0944,440.0107,42482,438.8111,4
GOOGL,2026-09-22T10:22:00,170.7002,171.0403,170.6438,171.0403,18678,170.7762,4
AMZN,2026-09-22T10:22:00,192.9119,193.3806,192.9119,193.3806,49389,193.1528,4
TSLA,2026-09-22T10:22:00,244.579,244.579,244.0171,244.0171,39217,244.3556,4
AAPL,2026-09-22T10:23:00,223.6576,223.6576,222.8001,222.8001,40838,223.2655,4
MSFT,2026-09-22T10:23:00,440.0107,440.0107,438.8094,439.0478,16248,439.3077,4
GOOGL,2026-09-22T10:23:00,171.0403,171.2232,170.7018,170.7018,4978,170.9574,4
AMZN,2026-09-22T10:23:00,193.3806,193.3806,192.7403,192.7403,11301,193.1217,4
TSLA,2026-09-22T10:23:00,244.0171,244.0252,243.5791,243.7478,38469,243.853,4
AAPL,2026-09-22T10:24:00,222.8001,223.2071,222.7313,223.2071,40258,222.8924,4
MSFT,2026-09-22T10:24:00,439.0478,439.7548,438.9458,439.7548,19872,439.317,4
GOOGL,2026-09-22T10:24:00,170.7018,171.121,170.7018,171.121,35701,170.8284,4
AMZN,2026-09-22T10:24:00,192.7403,193.2134,192.7403,193.2134,22485,192.9348,4
TSLA,2026-09-22T10:24:00,243.7478,243.7478,243.1358,243.1714,42091,243.3373,4
AAPL,2026-09-22T10:25:00,223.2071,223.2071,222.6441,222.7245,48731,222.9511,4
MSFT,2026-09-22T10:25:00,439.7548,439.9344,439.1268,439.9077,22989,439.686,4
GOOGL,2026-09-22T10:25:00,171.121,171.4142,170.9922,171.034,12632,171.1631,4
AMZN,2026-09-22T10:25:00,193.2134,193.2134,192.6747,192.6747,20758,193.0039,4
TSLA,2026-09-22T10:25:00,243.1714,243.3163,243.032,243.1167,41703,243.1461,4
AAPL,2026-09-22T10:26:00,222.7245,222.7245,222.1706,222.5236,49726,222.4419,4
MSFT,2026-09-22T10:26:00,439.9077,439.9077,438.9885,439.1704,33747,439.351,4
GOOGL,2026-09-22T10:26:00,171.034,171.279,170.6802,170.7744,27211,170.9261,4
AMZN,2026-09-22T10:26:00,192.6747,193.0853,192.6747,193.0853,3440,192.8527,4
TSLA,2026-09-22T10:26:00,243.1167,243.1167,242.6167,242.7646,43456,242.8846,4
AAPL,2026-09-22T10:27:00,222.5236,223.2457,222.4495,223.2457,40560,222.7696,4
MSFT,2026-09-22T10:27:00,439.1704,439.9154,439.1704,439.9154,37136,439.489,4
GOOGL,2026-09-22T10:27:00,170.7744,170.925,170.6588,170.6588,37012,170.8216,4
AMZN,2026-09-22T10:27:00,193.0853,193.5185,192.9026,193.5185,19007,193.2686,4
TSLA,2026-09-22T10:27:00,242.7646,243.1901,242.75,242.9085,43966,242.8995,4
AAPL,2026-09-22T10:28:00,223.2457,223.2457,222.5994,222.7492,10171,222.8583,4
MSFT,2026-09-22T10:28:00,439.9154,440.4839,439.9154,440.0932,22213,440.2454,4
